Fe-DFOB+ phosphate buffer +H2O2 + water, Cycle 1
5/23/2022 3:18:18 PM
Wavelength (nm),Absorbance
674.00,0.006641
673.00,0.006184
672.00,0.005918
671.00,0.005731
670.00,0.006404
669.00,0.006101
668.00,0.006117
667.00,0.006415
666.00,0.006357
665.00,0.006433
664.00,0.005436
663.00,0.006473
662.00,0.006934
661.00,0.005774
660.00,0.006544
659.00,0.006903
658.00,0.007019
657.00,0.007150
656.00,0.007314
655.00,0.005358
654.00,0.007046
653.00,0.005725
652.00,0.006253
651.00,0.006192
650.00,0.007051
649.00,0.006352
648.00,0.005893
647.00,0.006054
646.00,0.006884
645.00,0.005767
644.00,0.007458
643.00,0.005738
642.00,0.006115
641.00,0.006412
640.00,0.006409
639.00,0.006951
638.00,0.007352
637.00,0.006908
636.00,0.006361
635.00,0.006385
634.00,0.006826
633.00,0.007238
632.00,0.006452
631.00,0.006769
630.00,0.006552
629.00,0.007143
628.00,0.006925
627.00,0.006594
626.00,0.006695
625.00,0.007684
624.00,0.007968
623.00,0.006172
622.00,0.006898
621.00,0.007559
620.00,0.007498
619.00,0.006939
618.00,0.007310
617.00,0.007067
616.00,0.006747
615.00,0.007120
614.00,0.007300
613.00,0.007412
612.00,0.007555
611.00,0.007816
610.00,0.006934
609.00,0.007773
608.00,0.007168
607.00,0.007304
606.00,0.006929
605.00,0.007567
604.00,0.007908
603.00,0.007264
602.00,0.006593
601.00,0.007196
600.00,0.007745
599.00,0.008582
598.00,0.008106
597.00,0.007909
596.00,0.007487
595.00,0.007715
594.00,0.008343
593.00,0.007846
592.00,0.008293
591.00,0.007639
590.00,0.008054
589.00,0.008129
588.00,0.008076
587.00,0.008155
586.00,0.007835
585.00,0.007799
584.00,0.007074
583.00,0.008503
582.00,0.009349
581.00,0.007741
580.00,0.008752
579.00,0.008022
578.00,0.009406
577.00,0.009079
576.00,0.009203
575.00,0.009974
574.00,0.009495
573.00,0.009295
572.00,0.009273
571.00,0.009574
570.00,0.009344
569.00,0.009100
568.00,0.009601
567.00,0.009795
566.00,0.009979
565.00,0.009872
564.00,0.009513
563.00,0.010083
562.00,0.010519
561.00,0.010172
560.00,0.010702
559.00,0.010075
558.00,0.010786
557.00,0.010256
556.00,0.010916
555.00,0.011827
554.00,0.011374
553.00,0.011487
552.00,0.012625
551.00,0.011667
550.00,0.011795
549.00,0.012321
548.00,0.012484
547.00,0.012675
546.00,0.013082
545.00,0.013429
544.00,0.012954
543.00,0.013637
542.00,0.013397
541.00,0.013912
540.00,0.014011
539.00,0.014083
538.00,0.014517
537.00,0.014290
